lon,lat
3.753765,51.024581
3.740919,51.042925
3.803608,51.005466
3.81051,51.001105
3.78269,51.010123
3.816202,50.9995
3.739712,51.043718
3.764114,51.01991
3.742083,51.042162
3.827777,50.993247
3.833561,50.991462
3.735413,51.052049
3.734347,51.053184
3.797024,51.007039
3.788617,51.008553
3.747095,51.027461
3.783994,51.008705
3.761079,51.02144
3.820781,50.997355
3.748904,51.02691
3.749684,51.026847
3.871982,50.999112
3.745302,51.027507
3.734138,51.053207
3.733475,51.036291
3.734947,51.032077
3.807233,51.002685
3.737927,51.048933
3.799844,51.006874
3.730784,51.053502
3.727295,51.052541
3.739334,51.038162
3.838221,50.991726
3.790567,51.009459
3.785922,51.009625
3.739318,51.038802
3.739032,51.045066
3.807928,51.002333
3.806664,51.003055
3.746964,51.027424
3.828817,50.992146
3.738801,51.037728
3.754958,51.024682
3.764754,51.019604
3.820859,50.99733
3.740261,51.041002
3.784368,51.0087
3.729578,51.052556
3.740737,51.040368
3.739291,51.03801
3.733512,51.03609
3.746593,51.027415
3.87618,51.000071
3.875967,51.000078
3.739969,51.031571
3.735629,51.031482
3.82738,50.99262
3.739229,51.031642
3.808858,51.001895
3.77658,51.013625
3.782901,51.01001
3.733445,51.034997
3.733976,51.037183
3.737476,51.037937
3.74071,51.040135
3.736191,51.031246
3.780858,51.011377
3.791918,51.009446
3.803469,51.005551
3.859834,50.995979
3.736825,51.050462
3.874565,50.999744
3.870881,50.998812
3.739343,51.039338
3.79708,51.007039
3.743926,51.02935
3.725522,51.053257
3.767617,51.01815
3.728533,51.051616
3.760769,51.021609
3.766949,51.018583
3.740112,51.031515
3.832505,50.99144
3.829454,50.991872
3.739572,51.043711
3.764077,51.019963
3.77223,51.015756
3.783692,51.008796
3.736528,51.031176
3.736061,51.051445
3.781625,51.010906
3.736739,51.031154
3.734601,51.032436
3.730306,51.053281
3.876554,51.000158
3.740461,51.041477
3.746784,51.02738
3.844954,50.992669
3.740375,51.041393
3.764362,51.019782
3.770928,51.016366
3.786418,51.009458
3.803697,51.005327
3.824873,50.995336
3.738306,51.037673
3.742742,51.030439
3.792925,51.008753
3.740243,51.041044
3.772629,51.015567
3.747787,51.026675
3.78584,51.009604
3.798515,51.007007
3.830093,50.991624
3.793354,51.008418
3.857876,50.995759
3.877815,51.000453
3.882917,51.001403
3.740423,51.03985
3.731409,51.053382
3.731221,51.053624
3.744951,51.028104
3.739452,51.043826
3.803744,51.005247
3.750495,51.026081
3.82099,50.997253
3.767237,51.018328
3.764899,51.019529
3.806323,51.003322
3.749088,51.026939
3.827849,50.992465
3.737411,51.037988
3.735514,51.031571
3.76729,51.018419
3.738156,51.037699
3.818375,50.998699
3.750468,51.026106
3.734768,51.053223
3.74718,51.027487
3.761618,51.021144
3.775768,51.014049
3.829864,50.991738
3.72999,51.053041
3.734201,51.034019
3.750941,51.025659
3.883052,51.000672
3.781521,51.011002
3.805368,51.00407
3.783265,51.009799
3.740819,51.041647
3.731082,51.053588
3.820581,50.99737
3.747559,51.027019
3.74868,51.026866
3.823249,50.996016
3.72746,51.05244
3.738096,51.031306
3.734816,51.032125
3.793769,51.008172
3.745667,51.027469
3.733794,51.053237
3.734635,51.032503
3.738959,51.045617
3.728308,51.051781
3.858946,50.995213
3.73877,51.046958
3.820445,50.997422
3.840481,50.991944
3.762127,51.020886
3.750063,51.026489
3.72912,51.051991
3.739417,51.039425
3.830725,50.991467
3.788257,51.008511
3.738866,51.031546
3.826835,50.994249
3.730367,51.053317
3.741084,51.041729
3.869941,50.998598
3.737023,51.038036
3.741378,51.031158
3.865602,50.997596
3.858216,50.995621
3.799575,51.006918
3.822674,50.996253
3.733671,51.035887
3.740734,51.04023
3.746039,51.027328
3.740481,51.040776
3.785223,51.009106
3.729004,51.051923
3.741633,51.042531
3.784236,51.008691
3.795034,51.007177
3.754277,51.024528
3.829653,50.991781
3.777451,51.013161
3.738497,51.048084
3.857995,50.995744
3.734242,51.033917
3.783363,51.009182
3.812652,51.000446
3.74592,51.027343
3.788422,51.008512
3.749208,51.026943
3.793995,51.008002
3.791474,51.009772
3.83055,50.991393
3.792315,51.00918
3.783442,51.008996
3.749526,51.026893
3.751253,51.025371
3.735186,51.052344
3.859892,50.996193
3.762843,51.020615
3.737929,51.031278
3.842494,50.992242
3.735076,51.03208
3.764873,51.019542
3.748561,51.026843
3.764155,51.019887
3.727145,51.052613
3.830971,50.991475
3.742188,51.030797
3.848244,50.993427
3.726293,51.052934
3.801107,51.00658
3.752724,51.024763
3.75215,51.024546
3.870933,50.998851
3.776738,51.013541
3.787417,51.008903
3.73495,51.037681
3.726153,51.053001
3.87797,51.000508
3.737696,51.031263
3.741822,51.041939
3.782169,51.010408
3.740585,51.040632
3.817486,50.999066
3.795237,51.007035
3.740408,51.043183
3.765511,51.019214
3.740315,51.043296
3.748729,51.026876
3.803053,51.005653
3.783473,51.009572
3.734252,51.053184
3.738454,51.04818
3.79674,51.007065
3.733504,51.036431
3.796894,51.007041
3.745337,51.027426
3.870366,50.998699
3.805171,51.004231
3.773021,51.015381
3.882955,51.001272
3.83457,50.991483
3.836655,50.991601
3.72858,51.051607
3.740577,51.043075
3.743415,51.029916
3.73637,51.037905
3.781706,51.010728
3.796431,51.007081
3.765666,51.019201
3.750341,51.026226
3.798823,51.006988
3.764504,51.019731
3.789149,51.008773
3.726032,51.053059
3.732365,51.053339
3.740544,51.043089
3.733431,51.035064
3.784917,51.00887
3.72505,51.053408
3.821073,50.997026
3.802902,51.005735
3.734564,51.037502
3.762313,51.020897
3.745515,51.027471
3.733837,51.034503
3.728565,51.051595
3.785071,51.008958
3.847577,50.993255
3.733719,51.053263
3.882683,51.001387
3.782152,51.010417
3.727968,51.052052
3.810098,51.001265
3.735834,51.031378
3.73753,51.037893
3.781037,51.011284
3.729805,51.052838
3.741666,51.031048
3.739183,51.044119
3.871065,50.998882
3.809728,51.001438
3.748354,51.026797
3.78789,51.008653
3.740631,51.040003
3.88276,51.00012
3.76289,51.020589
3.78724,51.009027
3.737108,51.031149
3.740585,51.041562
3.832598,50.99146
3.880071,51.000955
3.731273,51.053557
3.747235,51.027428
3.783569,51.008876
3.80582,51.003731
3.821057,50.997197
3.869709,50.998537
3.739069,51.03784
3.878507,51.000622
3.734823,51.037634
3.733497,51.03528
3.860163,50.996277
3.755552,51.024366
3.764421,51.019761
3.785699,51.009475
3.786087,51.009674
3.740426,51.040944
3.824365,50.995595
3.772407,51.015672
3.801727,51.006361
3.827712,50.99251
3.742958,51.030292
3.725268,51.053615
3.739355,51.038342
3.739851,51.043631
3.733575,51.03668
3.737707,51.037836
3.741948,51.030931
3.747275,51.027384
3.860959,50.996475
3.84691,50.993103
3.88176,51.001285
3.75145,51.02519
3.795222,51.007035
3.769461,51.017123
3.730097,51.053127
3.882974,51.000786
3.772177,51.015781
3.734575,51.032675
3.733685,51.035779
3.749619,51.026878
3.804083,51.005023
3.863853,50.997186
3.810231,51.001214
3.735218,51.052282
3.843849,50.992464
3.745971,51.027331
3.738621,51.037687
3.744514,51.028605
3.754615,51.02456
3.734925,51.052829
3.790186,51.009303
3.729285,51.052187
3.733843,51.037091
3.859885,50.996064
3.781858,51.010608
3.740881,51.04167
3.73055,51.053414
3.768901,51.017431
3.739281,51.039185
3.829155,50.992003
3.740351,51.040952
3.734661,51.053213
3.781647,51.010816
3.882014,51.001323
3.78337,51.009288
3.740568,51.031404
3.755254,51.024524
3.781104,51.011249
3.859888,50.996116
3.788115,51.008541
3.729242,51.052112
3.78599,51.009706
3.740248,51.041156
3.783401,51.009681
3.733687,51.036903
3.805013,51.004352
3.741502,51.042627
3.735755,51.031419
3.740311,51.041307
3.736584,51.037978
3.881047,51.001145
3.840205,50.991935
3.742094,51.042317
3.740557,51.04067
3.737275,51.031164
3.819168,50.998298
3.808219,51.002198
3.741855,51.042429
3.733626,51.035965
3.826497,50.993479
3.745067,51.027958
3.827278,50.992657
3.784527,51.008731
